Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,28,1992,34.2,22,120,46,38.3,3.51,1.35,0.13,0.35,15.8,1,6,6,20.9,16.4,0.14,+1.1,-0.4,Matches
2,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,27,1993,34.2,23,134,47,35.1,3.91,1.37,0.14,0.4,17.7,14,4,4,20.5,17.5,0.13,+2.5,+1.5,Matches
3,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,33,1987,31.6,15,73,27,37,2.31,0.86,0.1,0.26,14.1,0,8,9,19.7,12.8,0.18,-4.7,-5.8,Matches
4,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,26,1993,33.9,17,105,45,42.9,3.1,1.33,0.14,0.33,12.7,0,2,2,17.3,15.7,0.15,-0.3,-0.7,Matches
5,Ollie Watkins\Ollie-Watkins,eng ENG,FW,Aston Villa,24,1995,37,14,98,45,45.9,2.65,1.22,0.13,0.29,13,0,1,2,16,14.5,0.15,-2,-1.5,Matches
6,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,23,1997,31.9,16,81,46,56.8,2.54,1.44,0.2,0.35,11.7,0,0,0,15.4,15.4,0.19,+0.6,+0.6,Matches
7,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,25,1994,34.4,18,110,40,36.4,3.19,1.16,0.08,0.23,22,16,9,10,15.4,7.8,0.07,+2.6,+1.2,Matches
8,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,28,1992,31.2,11,93,35,37.6,2.98,1.12,0.12,0.31,12.8,0,0,0,15.2,15.2,0.16,-4.2,-4.2,Matches
9,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,28,1991,30.5,12,67,37,55.2,2.2,1.21,0.15,0.27,13.1,0,2,2,13.3,11.8,0.18,-1.3,-1.8,Matches
10,Neal Maupay\Neal-Maupay,fr FRA,FWMF,Brighton,23,1996,27.9,8,67,22,32.8,2.4,0.79,0.07,0.23,14.2,0,3,4,13,9.9,0.15,-5,-4.9,Matches
